hscode_4,text,url
1507,黃豆油及其餾分物，不論是否精煉，但未經化學改質者,tariffHScode.asp?code=1507
1508,花生油及其餾分物，不論是否精煉，但未經化學改質者,tariffHScode.asp?code=1508
1509,橄欖油及其餾分物，不論是否精煉，但未經化學改質者,tariffHScode.asp?code=1509
1510,其他油類及其餾分物，僅由橄欖所提煉，不論是否精煉但未經化學改質，包括本節與第１５０９節之油類或其餾分物混合者,tariffHScode.asp?code=1510
1511,棕櫚油及其餾分物，不論是否精煉，但未經化學改質者,tariffHScode.asp?code=1511
1512,葵花子、紅花子或棉子油及其餾分物，不論是否精煉，但未經化學改質者,tariffHScode.asp?code=1512
1513,椰子（乾椰子肉）、棕櫚仁或巴巴樹油及其餾分物，不論是否精煉，但未經化學改質者,tariffHScode.asp?code=1513
1514,油菜子油、芥子油及其餾分物，不論是否精煉，但未經化學改質者,tariffHScode.asp?code=1514
1515,其他固定性植物油脂（包括荷荷巴）及其餾分物，不論是否精煉，但未經化學改質者,tariffHScode.asp?code=1515
1516,動植物油脂及其餾分物，部份或全部氫化，互酯化，再酯化或反油酸化，不論是否精煉，但未進一步調製,tariffHScode.asp?code=1516
1517,人造奶油；可食用動植物油脂混合品或調製品，第１５１６節食用油脂或其餾分物除外,tariffHScode.asp?code=1517
1518,沸製、氧化、脫水、硫化、吹製，在真空中或惰性氣體中行聚合化或經其他化學方法改質之動、植物油脂及其餾分物，但不包括第１５１６節所列產品；未列名非食用之動、植物油脂或本章不同油脂餾分物之混合物或調製品,tariffHScode.asp?code=1518
1520,粗製甘油；甘油水溶液及甘油鹼液,tariffHScode.asp?code=1520
1521,植物蠟（三甘油脂除外）、蜂蠟，其他蟲臘及鯨蠟，不論是否精製或著色,tariffHScode.asp?code=1521
1522,鞣革餘油；油脂及動植物蠟經加工處理後所餘之殘,tariffHScode.asp?code=1522
1601,肉、雜碎或血製成之臘腸及其類似品；以上述產品製成之調製食品,tariffHScode.asp?code=1601
1602,其他已調製或保藏之肉、雜碎或血,tariffHScode.asp?code=1602
1603,肉、魚、甲殼、軟體或其他水產無脊椎動物之抽出物及液汁,tariffHScode.asp?code=1603
1604,已調製或保藏之魚類；魚子醬及由魚卵調製之魚子醬代替品,tariffHScode.asp?code=1604
1605,甲殼、軟體及其他水產無脊椎動物之調製或保藏品,tariffHScode.asp?code=1605
1701,固體甘蔗糖或甜菜糖及化學級純蔗糖,tariffHScode.asp?code=1701
1702,其他糖類，包括固態之化學級純乳糖、麥芽糖、葡萄糖及果糖；不含有添加香料或色素之糖漿；不論是否攙有天然蜂蜜之人造蜂蜜；焦糖,tariffHScode.asp?code=1702
1703,由提煉或精製糖而取得之糖蜜,tariffHScode.asp?code=1703
1704,糖食（包括白色巧克力），不含可可者,tariffHScode.asp?code=1704
1801,生或焙製之全粒或碎粒可可豆,tariffHScode.asp?code=1801
1802,可可外殼，莢皮及其他可可廢料,tariffHScode.asp?code=1802
1803,可可膏，不論是否脫脂,tariffHScode.asp?code=1803
1804,可可脂，脂及油,tariffHScode.asp?code=1804
1805,可可粉，未加糖或未含其他甜味料者,tariffHScode.asp?code=1805
1806,巧克力及其他含有可可之食品,tariffHScode.asp?code=1806
1901,麥芽精；由粉、碎粒、細粒、澱粉或麥芽精製成之未列名調製食品，未含可可或含可可重量（以完全脫脂可可為基礎計算）低於４０％者；以第０４０１至０４０４節物品製成之未列名調製食品，未含可可或含可可重量（以完全脫脂可可為基礎計算）低於５％者,tariffHScode.asp?code=1901
1902,粉條，不論是否烹飪或夾餡（帶肉或其他物質）或調製，例如不論是否調製之西式麵條、通心麵、中式麵條、寬平麵條、煎餅、餃子、春捲；北非粉條,tariffHScode.asp?code=1902
1903,由澱粉製成之粉片狀、粒狀、珍珠狀，經篩濾之粉狀或類似形狀之樹薯粉及其代用品,tariffHScode.asp?code=1903
1904,膨潤或焙製穀類或穀類產品之調製食品（例如：玉米片）；預煮或以其他方式調製之粒狀、片狀或其他加工（粉、碎粒及細粒除外）之未列名穀類﹝玉蜀黍（玉米）除外﹞產品,tariffHScode.asp?code=1904
